sexo_raça,1999,2020,Variação
Homem Branco,6527.2,8774.2,0.34
Homem Negro,4768.7,6272.2,0.32
Mulher Branca,5261.6,7753.8,0.47
Mulher Negra,4010.0,5815.5,0.45
